### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
89,7.372e-05,0.145904,0.948882,0.950639,0.898831,0.795231,0.785857,0.864864,0.604537
90,7.315e-05,0.137555,0.951597,0.953989,0.900795,0.632248,0.827008,0.848458,0.633828
91,7.258e-05,0.132342,0.954792,0.955799,0.914206,0.716548,0.824211,0.842668,0.603818
92,7.201e-05,0.127178,0.950639,0.95136,0.906114,0.572577,0.854575,0.877187,0.658832
93,7.143e-05,0.130837,0.955431,0.959546,0.911254,0.676096,0.823012,0.847517,0.636049
94,7.085e-05,0.12958,0.951597,0.955184,0.907583,0.6166,0.827407,0.857974,0.629383
95,7.027e-05,0.114996,0.959904,0.962194,0.92667,0.699979,0.822213,0.86811,0.610988
96,6.968e-05,0.111205,0.960863,0.964489,0.916759,0.625235,0.838194,0.874457,0.643613
97,6.909e-05,0.109983,0.960703,0.963997,0.918526,0.669954,0.834199,0.870879,0.637585
98,6.85e-05,0.125143,0.955911,0.958263,0.910112,0.703919,0.798642,0.856885,0.623329
99,6.79e-05,0.110136,0.958307,0.963409,0.917263,0.622183,0.845386,0.863407,0.613672
100,6.73e-05,0.117368,0.959904,0.962355,0.924744,0.773391,0.803436,0.851247,0.605603
101,6.67e-05,0.121475,0.957668,0.958814,0.914493,0.590967,0.844586,0.86816,0.635821
102,6.609e-05,0.118783,0.95655,0.957335,0.915032,0.658134,0.834199,0.860074,0.644905
103,6.549e-05,0.099393,0.965016,0.964326,0.934023,0.74448,0.80024,0.849787,0.569055
104,6.487e-05,0.100054,0.964217,0.96261,0.930832,0.741163,0.836996,0.862172,0.645413
105,6.426e-05,0.091268,0.96901,0.968048,0.947238,0.764646,0.82541,0.884213,0.628858
106,6.365e-05,0.106787,0.963578,0.965313,0.929238,0.75034,0.815821,0.852576,0.596864
107,6.303e-05,0.092203,0.966613,0.969552,0.934472,0.794681,0.805433,0.869951,0.590549
108,6.241e-05,0.104503,0.964058,0.965483,0.938464,0.678611,0.836197,0.849421,0.646267
109,6.179e-05,0.094895,0.966933,0.964575,0.940529,0.658836,0.830204,0.856269,0.624248
110,6.116e-05,0.093846,0.967891,0.967615,0.945524,0.894578,0.789852,0.857842,0.604605
111,6.054e-05,0.103318,0.962939,0.966052,0.924108,0.697907,0.82501,0.861306,0.624516
112,5.991e-05,0.091133,0.965974,0.967241,0.934666,0.636456,0.846984,0.873391,0.636438
113,5.928e-05,0.091879,0.968051,0.9685,0.940105,0.618309,0.837795,0.876188,0.649691
114,5.865e-05,0.080934,0.970447,0.973828,0.94287,0.709975,0.838594,0.878262,0.651018
115,5.802e-05,0.088425,0.96853,0.972612,0.932713,0.683766,0.845785,0.868817,0.620239
116,5.739e-05,0.087869,0.971885,0.971123,0.944028,0.678361,0.839393,0.870487,0.623986
117,5.675e-05,0.081879,0.97476,0.978138,0.953709,0.68445,0.837795,0.877093,0.60621
